,Time,HitType,PosX,PosY,PrevBlinderCount,onscreen_bl_count,nf_count
0,1667416426,climate_change,395,265.5,13,2,50
0,1667416428,famine,350,108.25,12,1,50
0,1667416428,famine,365,123.25,11,1,50
0,1667416430,pandemic,665,478.25,10,3,51
0,1667416431,Blinder,590,358.25,9,3,50
0,1667416432,Blinder,520,298.25,10,3,51
0,1667416432,crop_failure,555,298.25,11,2,51
0,1667416432,crop_failure,560,298.25,10,2,51
0,1667416436,pandemic,470,45.5,11,0,51
0,1667416436,pandemic,465,50.5,10,0,51
0,1667416436,famine,460,215.5,9,2,51
0,1667416437,famine,400,300.5,8,3,51
0,1667416438,climate_change,435,380.5,9,4,51
0,1667416438,climate_change,440,380.5,8,4,51
0,1667416439,nuclear_war,505,380.5,7,4,51
0,1667416441,climate_change,780,160.5,8,3,51
0,1667416441,climate_change,780,155.5,7,3,51
0,1667416441,climate_change,770,50.5,6,4,50
0,1667416442,famine,695,55.5,5,4,51
0,1667416444,famine,600,300.5,4,4,51
0,1667416444,famine,595,335.5,3,4,51
0,1667416444,climate_change,520,345.5,2,4,51
0,1667416444,famine,505,350.5,1,5,51
